task,model,accuracy,macro_f1,macro_precision,macro_recall
Sentiment,Majority Class,0.5037653586999604,0.3350026357406431,0.2518826793499802,0.5
Sentiment,TF-IDF + Logistic Regression,0.8299643281807372,0.829423996885916,0.833245225329865,0.8295875301327476
Sentiment,TF-IDF + Linear SVM,0.8208481965913595,0.8207434113069744,0.8212298502577531,0.8207126661857158
Sentiment,BERT-base,0.8791121680539041,0.8791084457011126,0.8793139430360253,0.8792038167727859
Sarcasm,Majority Class,0.8557882259976294,0.4611454119650841,0.4278941129988147,0.5
Sarcasm,TF-IDF + Logistic Regression,0.8549980244962465,0.4662733766155412,0.5947854785478548,0.5018163649932329
Sarcasm,TF-IDF + Linear SVM,0.847096009482418,0.5802701962644576,0.6494723321727098,0.5666799478870211
Sarcasm,BERT-base,0.8700118530225207,0.6938112438000104,0.7375700485670065,0.6689124577846924
